TID,TWEET,LABEL
303,prefer purpl especi combin golden colour awesom,1
18,talk footbal lunchtimeanyth wors happi hoppusday mother day fuckinamptouchinampsuckin hahhah,1
213,happi flex homi depress,1
30,depress diagnosi start medic reason famili reason mom,0
600,post europ depress wors fuck shake sad depress mind,0
57,depress your arriv world,0
879,awesom funni bout monk love,1
867,today perfect day wed happi wed day,1
38,drop state depress opposit state rebuild peopleskillschat,0
542,morn twittervers happi followfriday,1
854,damn morn depress type power,0
796,feel justifi hear love matern photosso beauti awesom set wthe bed,1
120,h diagnos make joke depress addict domest abus ur depress ur sad ur alcohol ur drink weekend funni make joke ur bfgf beat u,0
273,congrat cooler happi birthday miss love,1
363,wonder day scott awesom im happi night,1
632,happi pentecost day power presenc holi spirit bless richli today day jesu,1
335,daili regular physic activ long keep person healthi happyit improv memori person mental alert activ help fight depress diseaseto,1
787,happi month babe love make happiest girl entir world,1
232,happi atamptbold user,1
782,ich darf gar nicht daran denken ist zu traurig wäre wennbringt nicht außer depress ist nicht zu ändern ist wie ist damit muss ich lebenshithappen,0
29,happi friday hope wellth darl decid cookout happi happi joy joy,1
174,room depress season,0
172,happi,1
252,depress decid rear ugli head sadli spark jealousi hate jealou day kinda tank week plung depth,0
248,here farthi depress instead keep top thing pull sheet head feck worldhad ultrasound leg happi circul problem infect,1
390,phase depress,0
657,experi fandom love group help depression anxieti colleg obsess w group year fandom wors follow group listen music interact w,0
822,desper law commit crime theft abus murder beat incompet current potu long rememb caus greatest desper depress world donni,0
603,depress hit harder weed,0
686,im happi sunnybut rumor chilli,1
76,china children poor rural area happi smili face xinwen lianbo oo,1
953,morimoto dinner happi birthday mommi lt,1
161,share garon fellow anxietydepress effexor pal awesom huge step deserv content fulfil love,1
582,sad cold weather call season depress sad hot weather call countri song,0
137,heart speech omg year cope stress depress anxieti end he unemploy stress broken lost monet,0
957,move back parent home depress sad fill hard year,0
995,amo summer depress,0
578,beat fuck depress ugli unnecessari unneed unlik ass week coupl spell final back goofi laugh spongebob,0
52,love miss ice cream cope post concert depress happi andthatsthechri day,0
986,depress depress fuck away,0
819,loneli physic activ mentalhealth covid longit analysi depress anxieti,0
628,cut hair short result bit strang awesom kiff xd,1
16,awesom im glad im jealou,1
981,mood import emot random act complet fool twitter real life solv problem relat depress anxieti probabl fine,0
107,besito want ass sad damn depress wild emoji sneez face,0
653,yt made happi guy amaz love goodmorn day mine,1
319,sad human be admir lack emul team,0
133,im week chicago im excit depress asthma heal happi person hous blue b emoji smile face open mouth smile eyesemoji smile face open mouth smile eyesemoji smile face open mouth smile eye,1
129,social anxieti ocd epilepsi short term memori loss due antiepilept drug depress make life hell im live import life pretend lie fine life,0
681,problem grip heighten anxieti lock pit depress necessarili anxieti depress rob agenc intervent,0
157,depress cluster differ similar mentalhealth,0
43,messag facebook depress talk sad stori,0
339,guarante youll turn superman consist usag custom feel supercbd fabcbd fabfam fablif happi honest superman hemp sweet ocean breez tech cannabiscommun sqad depress anxieti,1
655,antidepress daydepress joy antidepress medicin hope rest faith god inspir encourag peac antidepressantoftheday happi,1
430,link adhd sad adhd parent depress mentalhealth,0
255,thought josep illic depress wife asham disgust cheat,0
838,awesom twitter background,1
442,happi sunday readi church love god u care friend,1
146,point timehav comment case specificsi policei particip circu conspiraci theoriesmi issu mental strong depressioni concern mentalhealth issu convers,0
610,happi birthday dad,1
231,happi note im head bed torecharg chi tomorrow goodnightweep,1
975,macbook invit friend twitter happi mother day,1
675,avail mirror u gloom despair frustrat depress welcom,0
937,run happi place help overcom postpartum depress continu cope life provid workout stay healthi,1
548,gogol bordello awesom nice night,1
255,sad wors happi depress dehuman tire emot experi encount life,0
556,bout hit sackgot shit tomorrow happi mother day mom,1
77,lookout tweet happi tweet,1
164,happi thought away heavi dark weight chest gut hole feel brain stuck depress intens,1
425,happi wel wednesday massage therapi symptom depress anxieti hypertens visit websit read research resourc page book appoint onlin yyc massagecalgari yychealth yychealthyliv rmt,1
244,think read real blog awesom,1
207,happi mother day madr,1
482,push pain depress struggl feed spent upset wast moment happi back,1
201,mood sai post dépression tou soul,0
881,depress wake nightmar back sleep,0
193,show tv design make feel guilti larg your happi size notthos wonder improv depress,1
275,woken hour fever dream find post back phone messag awesom girl,1
990,blimey kevi gonna airhaha,0
704,love thowil def thatthank info rock happi sunday,1
578,rememb want medic examin coron highschool super depress thing hit hard passion interest thing life fade away,0
985,luv music monday awesom,1
19,happi mandi safe trip va beach enjoy,1
192,happi brother sisterinlaw keep finger toe cross,1
231,great photograph guy play westjet street parti short set awesom nonetheless,1
252,deep depress care lame,0
779,sound awesom hope your fun wait luck rest rehears,1
463,covid pandem led higher level depress anxieti suicid tendenc psycholog trauma american adult earli month spread,0
390,happi mother day allim gonna mine nowsh deserv ityou guy,1
480,despit random lack energi happi,1
348,treat depress stop depress stop tire,0
152,happi sunday ride harley today,1
821,remind afford diagnos depress diagnos u feel sad depress,0
835,noodl badthey give balanc nutriti food prepar wellthat internet happi,1
765,hmmmmwhat doingim sing awesom song ima movi calledtermin salvat yea bitch xd,1
299,sadli feel lot deepli depress soul develop incred mask depress world fear wrongli,0
347,happi birthday,1
476,edit venom hittin eddi inspir live fight fight back dark interpret synonym depress,0
318,look awesom award congratul win deserv,1
999,rt drop state depress opposit state rebuild peopleskillschat,0
385,follow coz she awesom town,1
777,happi mother day strong hard work mother god bless famili,1
617,speak mentalhealth depress clinic standpoint commun,0
2,depress make indivis depressionisr depress,0
698,build collaps survivor prone depress aggress,0
543,depress hand he misinform hyperfix stupid speak subject he uneduc encourag minut simpl googl search formal apolog past ammunit,0
325,awesom macbook year graduat,1
381,depress honestli im sad lone lazi mental ill conveni excus,0
62,happi birthday,1
452,awesom pic mislead bigger irl tan lay egg,1
90,happi monday hope great day,1
810,grate great marriag awesom kid busi rock guess rest famili,1
287,holi shit tornado today amp sweet roof ive want tornado awesom,1
104,st wed anniversari today here bliss happi year,1
983,ill happi tweet quottweet tweet quot,1
460,depress bitch weigh differ time time,0
472,research shown green space indoor outdoor lower symptom anxieti depress mood disord make feel social connect,0
543,postnight depress,0
794,happi record video defo fave album,1
10,bikaç haftadır yerd sıramı kaptırıyorum ama sinirlenmiyorum ülkey bak antidepress skilli kazandırdı resmen ahahahha,0
822,happi hear,1
82,ive pass alot feel pain sad depress cri till breath till ive reach feel empti,0
427,leg crippl walk sad love tattoo,0
209,final decid amp forward month relax amp happi time famili amp friend,1
412,happi birthday ate boardmat dinner downstair,1
946,person increas suicid od watch number friend famili struggl deep depress anecdot believ trend,0
556,rememb mentalhealth mentalhealthawar anxieti selfcar depress selflov love mentalhealthmatt,0
916,p amp day job,1
864,freak circu awesom love,1
676,heard explain explain husband sad mainstream book real person real problem depress play victim,0
784,drown ocean depress,0
617,find interest vespa count motorcycl maryland florida awesom,1
92,clinic diagnos sociopathi convincingli neuroti stop autism spectrum mask disord anxieti hide depress bpd,0
682,happi birthday hope day fill joy,1
196,happi weekend great father morn side globe,1
537,vile hate individu manifest depress suffer wonder reesmogg hand happi decent individu,1
313,crazi member famili point exhibit side depress grandma aunt cousin talk ridicul talk,0
827,im lucki great friend drive hour watch raceawesom guy,1
519,total awesom,1
812,surround funni sever anxieti depress,0
374,followfriday shout your awesom,1
698,wut u tryna shud happi shower,1
645,bore work esp disney yesterday amaz wait weekend sad sarah leav,0
771,depress manifest apathi give pleasur passion come back thing incl makeup want start hobbi neat,0
63,happi birthday,1
367,sale worri pet friday worri pet design childrenadult autism anxieti sensori standwithsmal sale etsi depress mentalhealth,0
849,thing meet,0
506,fight depress easi uncontrol sad,0
998,browni time day,1
151,differ anxiou anxieti differ sad depress differ read book open mouth,0
657,night museum awesom,1
867,deadass im depress day swear im ignor sincer lose abil understand word,0
152,wish day happi ala depress bpd happen,1
910,im sorri feel sad sick hope feel,0
926,mad suicid bf call cop psych ward hr manag talk feel defeat mentalhealth mental il depress,0
682,depress,0
587,mackenzi mckee open depress greif emot,0
6,love selena gomez your beauti your role model idol happi repli,1
402,depress wave hit,0
391,ador,0
346,depress trynna creep back life lemm,0
964,cassad hope awesom time tour,1
719,golden girl make sooo happi crazi day gotta easi,1
50,night awesom slept watch kyle xy supernatur great,1
284,happi late morn time,1
21,substanc abus fuell massiv chang mh depress flourish develop wonder im kill braincel make depress im activ rout develop neural pathway away neurodiversesquad,0
872,im happi found elizabeth tweet medic depress,1
467,awesom feder move final believ,1
379,anxieti depress sad stress impact physic health,0
674,happi mother day,1
269,wallyworld today awesom time kewl easter basket nitelit comput,1
855,mentallyil past depress simpl human messiah left start preach prophet messiah young boy confirm,0
834,race awesom final jimmi win person,1
558,im happi content,1
901,swara r uh ur mind apko khali depress raa mtlb khe sucid boleyga mtlb etn evid etn sare jinko raa murder h appl dimag sikho,0
895,norway im soooo happi quotim love fairytalequot craaaaazzyy hot alexand rybak im love lt,1
342,great laid final guitar rhythm track song sound awesom mix,1
427,anxieti depress real excus shitti,0
444,post logic awesom envelop full github sticker yay,1
593,decreas avail like project vibe ppl moodi feel wanna hear depress shit depress respect dif thing shit wack,0
662,happi tomorrow start summer school hour tuesday im enjoy long weekend busi,1
609,love guy im work im happi sleep tonight,1
115,extrem sad lack energi hopeless irrit troubl concentr feel guilt symptom major depress,0
567,awesom amaz talk,1
953,wow that awesom notebook afford quot in between quot thank,1
12,depress fuck joke,0
394,din din depress,0
659,im happi,1
839,im sad assum depress decid kick teeth asshol,0
96,sad depress case person fight insid,0
944,wolverin awesom,1
263,goodby oppress town colorado happi town bring,1
730,thanki,0
557,ich glaub dass ist ein wichtig punkt weder die bedürfniss noch die wünsche werden erfüllt vorallem ärmere menschen haben oft viel leidenschaft und interess und nicht wird erfüllt da treibt viel weiter die depress b,0
51,brilliant love compass humor class awesom role model especi children young adult happi forthright mom mentalhealth challeng request deep,1
600,xeyrox coup détruit serv glorystar foi histoir mettr dépression pote nest lfdp,0
543,liberta seat ill happi,1
764,happi today shoppingday,1
855,happi mother day greatest mother day gift kid serv god,1
936,awesom,1
963,happi slightli skinni xx,1
892,sad male children emot support need develop healthi brain develop suffer anxieti depress result st shown famili parent boy intent,0
139,u call trent liar haha awesom toronto show troubl sir,1
59,aj rafael awesom musician famou youtub cover song forget watch,1
666,forget job disappear watch great recess gdp low depress fals distract resign famili die dt neglig vote,0
235,awesom presid,1
229,model job scar surgeri deterr coupl inch short,0
288,listen awesom link  check,1
870,depress disappear shit haunt daili dream nice materi fear sad emot rule mind sorri vent im loser hey thing chang hope pray happen foe,0
461,add autism depress anxieti offici diagnos surpris,0
76,fave drummer remix fave rapper die happi,1
346,netflix awesom custom servic mention great product,1
813,depress long rememb manag shit rough anxieti bitch gotta figur plan mess sleep,0
318,depress sad sign depress word voic,0
612,ich find niemand ist normal bzw gehört der norm depress gehört zu deiner normalität ander haben ein ander normalität wie zb legastheni migrän ptb ms bipolarität kleinwuch sehschwäch weiß denn ichirgendwa ist immer da ist die norm,0
69,an depress hell unknown famili,0
25,day press up day rais awar men mentalhealth ptsd anxieti depress suicid pleasur join step father today suffer depress,0
586,experi depress import life stuck person genuin help connect advic welcom,0
151,tenth tro depress hurrican season form coast africa tro hurricaneseason,0
296,cours dark side lifestyl dj stress anxieti make sad dj glamor life struggl anxieti stress depress push balanc,0
875,surviv episod loss failur disappoint relationship job poverti depress health problem career setback toxic friendship realis worri life exacerb fear attach,0
531,song day run walk hey monday cassade rock love,0
40,happi birthday day spent recal event day night,1
8,awesom,1
216,hate depress your hide,0
455,tweet sixteen day miss ive fun ingrid frak awesom bbq today,1
69,stagger increas covidlink depress anxieti,0
769,coalesc destroy low ceil gutair player sheetrock play guitar awesom,1
22,your fill anxieti depress loneli peopkeskillschat,0
835,mental weak refer neg anxieti depress thought insid mind identifi emot time lack selfconfid anxieti depress overthink take lot unnecessari tension etcbeawar,0
647,fuck hate depress start happi thought cure cool depress sad,0
203,test shirt coz fail properli awesom,1
154,justic depress mental ill sb p muh khul h,0
399,eww twitter depress happi time eat breakfast ooober hungri ice cream b egg,1
724,aw wa man sad kay mabuhat multipli pictur ang choova ra man,0
991,distant dwell miseri trigger depress happi feel past day wanna break spend time stuff likelov,1
26,harri connick jr strateg offic continu inspir constant swoon happy clam,1
68,ur awesom sourc follow mj news especi tour wait,1
572,haha kiss awesom team edward alllll,1
567,craziest depress ive hit rock bottom shit wors today turn costco churro sad cri eat churro realiz definit rock bottom,0
111,share time distress emot psycholog depress money feel u talk feel reassured pleas reach make call pleas,0
361,home happi friend week,1
9,simpl girl make happi morning and bloom ,1
177,awesom footbal stadium,1
159,money money option fix extrem poor long time depress beat,0
636,poor covid respons push edg depress,0
408,happi birthday hime,1
717,im sad depress nap time emoji sleep face,0
384,depress ill stigma,0
345,u awesom,1
757,shake head apart sunk depress desir care anymor moment clariti breath friend,0
813,happi birthday grandpa cat love,1
293,express frustrat depress anger lockdown situat especi america adher mindset coexist,0
749,unconfirm rumor appear josip ilicič consid retir footbal fell deep depress caught wife cheat sad,0
161,sad realiz depress friend,0
986,found twitter thank honesti depress sheila walsh talk struggl,0
962,man awesom bet kid famous day happen,1
264,fight addict mental ill depress anxieti death heartbreak suicid strong put situat test readi life resili,0
697,wyn take min prepar mel take hour p happi birthday friend,1
937,wildstarb happi rezday captain parti,1
661,poor birdi theyr prob happymean worm,1
162,happi birthday,1
234,normal mentalhealth import struggl mentalhealth long time especi medic gener anxieti lead depress panic disord odc bpd struggl fight find normal,0
553,happi monday,1
237,liter gaslight bipolar toxic manipul trait liter perfect fuck ill expect perfect romantic depress call bpd crazi breath,0
993,wish happi mother day xoxo,1
404,dancinggggg youv made happi,1
185,happi hear complain life health roof head,1
206,happi coz hme haha im excit sunday,1
762,beauti lb happi birthday welcom club,1
90,melt pot happi hour yumm hope ga chees beer,1
23,happi mother day im gunna crawl ball act exist lmfaoo,1
947,depress,0
326,depress anxieti hard deal world back normal,0
320,happi mother day mom,1
843,connaiss rapproch sentiment eloign hain depress,0
43,feel,0
606,block im trust encount deal depress sigh depressedwrld care argument suicidedepress real,0
15,depress real joke smile fight,0
25,happi miss punkin,1
637,your write song im itll awesom twitter song,1
94,told male colleagu id postpartum depress nah women knew emot childbirth omg your mansplain im differ,0
942,yum yum love quesadillas and wallpap matter tooo,1
498,happi birthday bare talk anymor your biggest art inspir who save depress bring smile face youll,1
252,proof person hang suffer depress master art hide kind gentl,0
340,rememb sister start depress issu mom perk type long recogn im yr older psych degre knew,0
515,tech chang farm awesom,1
957,fren depressionm u diagnosedfren depressionm yea u diagnosedfren dome u knowfren tear im sad time life suck fake weep sound,0
702,ive found depress long feel end feel emot hard control moment happen,0
260,joy glass chalk awesom truck quotfanimequotd,1
826,suffer depress sad feel persist nag anxieti,0
793,happi birthday,1
786,bon sen sagirait darret dutilis depress tord quand just gross salop,0
738,snug happi,1
975,day food gross battl bond depress aweee broken cute,0
861,guy today im happi,1
83,treat work relat depress kalm centr todayth mentalhealth employe imper success organ sadli mentalhealth employe overlook corpor world,0
739,sir st futur india mental phycal disturb fahe exam karan rah gya pdahi semest semest exam mark adhar pr humko promot skta sir st depress h,0
338,mentalhealth ill call depress basic mean im sad lot hard,0
953,happi sox today,1
880,everyday present challeng im make world depress put love peac link symbol supportmentalhealth,0
149,today daili cycl depress lil earli happi wednesday,1
537,love movi zac awesomee,1
342,yesterday sooo fun night lt live long prosper happi mother day,1
956,concord st depress vv set rbbb posterior inferior wall suffer patient left heart cath asap pda culprit,0
444,make funni interweb dreambigfighthard nbinder,1
730,depress hit hard danc disco music help danc skill cat attack leg stay aliv,0
635,omg awesom guy,1
202,gotta touch huge differ sad depress,0
267,awesom here great week,1
764,boomer depressionproof join rank downwardli mobil high earner surpris risk age poverti trend start coupl year ago pandem acceler,0
128,death destruct trump win yearsgood pandem econom depress wakeup call sigh,0
994,nice haha hope your awesom day,1
388,buti lang talagang wattpad salamat lang kundi lunod ako depress,0
244,depress ah feel sad forget care,0
945,excus build photographi empir anxieti depress hold back,0
442,happi mother day,1
409,crippl depress road chair,0
309,edward scissorhand awesom pack girllll forget toothbrush haha blast,1
993,rememb awesom servic yesterday,1
711,whiteworkingclass boy fail fed themeith directli indirectly that gender ethnic redempt entitl care high suicide self harm rate despair depress taught guy teacher,0
933,morn awesom time ny make u relax ur work luv u,1
569,depress mentalhealth lovelif workhard smile happi beautifullif lovelif goal keepontri summeriscom,1
328,month im marri quotold manquot happi birthday jeremi,1
961,love poster panel today qc comic awesom,1
12,awesom juli save date im excit xoxo,1
919,depress commit suicid mentalhealth exist diseas demean depress let rememb depress guy hero reread sentenc youll understand point,0
974,season depress suffer,0
961,happi st high,1
720,depress real ordinari sad sape yg penah rasa tahu sakit dia cm emoji reliev face,0
798,hope fabul friday happi amp safe holiday weekend xoxo summer,1
182,learn awesom work vibe cya friday,1
472,yall im diagnos depress anxieti attack sick friend,0
70,talk anxieti depress,0
181,watch sound music happi place,1
523,day fight sad depress,0
286,all haben spaß außer mir warum ich sitz lieber zu haus weil da wenig stress bedeutet und angenehm ist und dann bin ich neidisch auf die gemeinsamen erlebniss der anderen dank leben depress kann scheiß sein,0
497,habi lunch sm illafifimalch happi,1
159,final finish break dawn sooo sad end gonna find food amp work,0
505,awesom made moment,1
670,depress hardest thing deal understand fuck talk dope soul long happi posit vibe,0
418,she medic practition hippocrat oathsh clinic psychologist bsc fellowship degre she suppos initi counsel refer proper md psychiatrist treatmentnot term bipolar depress,0
270,he tackl depress lot exercis talk therapi im happi flo x,1
399,happi wellnesswednesday emoji leaf flutter winddyk research indic garden great heal depress anxieti ptsd harvest heal food boost immun moodantidepress microb soil dirt make happi,1
765,fear women atalanta forward josip iličić found wife cheat surpris slovenia he depress consid quit footbal,0
105,stop make depressionanxietyment health issu trend hell lot fake depress,0
749,vrai aidangallagh tenu propo déplacé enver personn souffrant dépression bloqué live aussi fait croir cancer forcerait fan devenir vegan,0
863,depress wave brother im readi hang,0
235,im insid im depress joke fight,0
404,bcoz rspect thatanyway happi,1
790,econom surpris full blown depress bit wind sail trump foil campaign strategi iron,0
938,happi easter,1
805,mile bike ride mequon back sane rout lake drive back town awesom,1
358,love cs graffiti life show awesom night im proud feel hold back feel,1
195,problem mother bring newborn wellbabi visit skip postpartum week visit depress potenti lifethreaten problem diagnos,0
675,hoppusday happi hoppu day rock,1
123,sleep sound halo happi boy,1
636,hug simpli meant alot sad depress,0
673,firmli believ feel pain import step happi feel pain feel pain free pain its okay be okay mentalhealth mentalhealth awar depress depression awar ,0
923,yaaay happi likesss im gna blog black betti spank photo princess lt hopeschooliscool,1
739,happi mother day mom,1
886,pretti awesom day today made lot decis day till nation start,1
553,agre label cptsd depress anxieti child god spiritu human experi wors face planet,0
393,solo compil gonna pretti awesom ive record stuff incl lazi eye gtr lead today,1
270,im sad wish log aim youd guess time georgia trip weekend,0
274,feel u suffer mild depress u r u depress u small portion deep sad insid u r deni lie heart bcuz yknow u deni,0
163,makapuu beach camera phone awesom captur blue,1
219,ahah ill forget video anna rose eye awesom,1
149,forward beauti relax weekend game tonight happi memori day weekend,1
948,happi birthday snicker hope day let shop,1
108,quiet weekend awesom workshop blue depressionâ,1
144,feel homi sooooooo depress,0
637,readi die hill captain america die virgin peggi carter give shit past spent lifetim drink wast away depress back lie aveng,0
30,guess deserv happi instead depress,0
998,sad month post school depress real shake thing withhold happi time death easierbut thing differ,0
835,depress ive year feel burden talk ive entir stop tell,0
459,happi birthday x,1
66,tw depress friend made depress mental disord diagnos w medic hate talk abt amd ruin mood,0
478,depress mental ill help,0
744,back recessiondepress time gop offic presid obama year bring back track year trump destroy make mistak recess covid made wors vote blue trump,0
947,awesom happen india final feel struggl depress yr continu frustrat famili friend wa,1
228,sit deck robert holden author happi beauti man gift coach im happi,1
612,show bit cuz depress symptom back leav super unmotiv share work love make happi miss paint anim digitalart illustr,0
785,memori nite happi,1
714,woke uphappi mother day,1
558,absolut free join group part challeng click join answer group question mental well mentalhealth matt mental il anxieti depress lockdown,0
498,note happi followfriday flatter,1
323,sadli,0
53,watch logi eat home made pie pj awesom night,1
176,nigga put shorti suffer depress anxieti who seek reassur shorti moment overwhelm sad reason,0
66,brilliantli impress,1
466,numberproxim lowkey live depress shock awar theyr listen speak show concern bout heard listen leanonmedearhuman icar,0
2,open invit tweep degre show lsad clare st limerick june pm meet piss welcom,0
864,depress nap,0
769,find binder put finish project eep im happi,1
464,ill jump start happi text min text talk fuck depress,0
836,happi mother day mom tough job total worth,1
865,make happi share life,1
336,basic believ sadist build anticip cruel unusu sadist hahahaha,0
835,wowganasnya pukul dada dulu masa kecik mak katasaya selalu hentak kepala dekat dind doktor cakap saya memang ada anxieti dengan depress daripada kecik,0
396,fav song esp parah reh sakog hoke mujs phat jayeng deewarein sunk sada,0
837,happi friday eve,1
352,woopra pretti awesom visitor happen live,1
974,happi bday norway nation day day,1
307,happi gilmor,1
446,depress strike,0
129,aw sad enjoy work long weekend,0
95,happi birthday,1
101,mum teacher survivor hscvce pothol road share thing incl anguish distress anxieti depress pass aspect human navig shame,0
125,back trust friend depress break vibe irl friend hope sea thiev possibl content channel vibe synthwav,0
661,clinic depress choos view world caus churn toxic hatr,1
9,depress die blow hope pass,0
503,love saint movi trust presenc ensur awesom,1
654,lmao depress tell week hit back feel feel wanna hit back sorri sorri hear w,0
704,chanc talk hand awesomest weekend amp ill miss safe love u,1
464,stimulu propel depress david stimulu delay inevit make hit wors,0
875,ладно это годно,0
477,ha goodnight twitter twitter night ,0
416,sleep eat properli im sadi diewelcom depress,0
41,relat depress pass friend,0
174,leav takamin buchou feel acceler takamin depress,0
528,anxieti depress soooooo fuck dm way sad piec shit time,0
483,miss u im happi u pass ur test u shld pro,1
287,make happi happi mother day mother cuz cute friend possibl,1
394,boy flower awesom special yijung cha gaeul stori watch great,1
930,yummi beat cook flower birthday happi birthday,1
763,imma light instead sit dark day cure depress,0
646,grade slow start sever depress full forc begin grade,0
434,complet soullessi incap humani incap inhumani live uncontrollablyit call antidepressiona friend mine suggestedbecaus sad hurt youit brain reaction,0
470,fleabagselfish crocwhen ned shire hors injur leg longer work sad fear slaughterhous farmer bill friend help ned overcom depress find job give ride kidspb dvpit di,0
856,tryna listen happi song instead sad song undo depress oof,1
956,piec ive written today mentalhealth mental il anxieti suicide prevent depress autism its okay to not be okay end the stigma,0
634,im happi cc liquid gold pump tonight itll flow help strong,1
250,awesom week,1
776,organ wine kill happi birthday morrissey,1
505,depress feel lone depress depress feel lone,0
38,disclos mental ill report diagnosi bipolar depress session therapist fraud,0
324,happi birthday,1
845,sadden mentalhealth chang depress thief,0
